RoutePair,DepHourLocal,OnTimePct
ATL-LAX,0,89.25619834710744
ATL-LAX,1,71.7948717948718
ATL-LAX,5,92.9539295392954
ATL-LAX,6,94.0
ATL-LAX,7,88.3495145631068
ATL-LAX,8,81.80515759312321
ATL-LAX,9,85.39638386648123
ATL-LAX,10,84.04761904761905
ATL-LAX,11,81.65137614678899
ATL-LAX,12,85.0674373795761
ATL-LAX,13,80.2124833997344
ATL-LAX,14,76.86567164179104
ATL-LAX,15,82.89290681502086
ATL-LAX,16,85.98930481283422
ATL-LAX,17,77.5
ATL-LAX,18,77.5
ATL-LAX,19,75.85139318885449
ATL-LAX,20,65.84615384615384
ATL-LAX,21,73.47480106100795
ATL-LAX,22,84.03041825095056
ATL-LAX,23,74.42244224422443
JFK-ORD,6,90.80882352941177
JFK-ORD,7,85.76779026217228
JFK-ORD,8,76.54867256637168
JFK-ORD,9,82.22222222222221
JFK-ORD,10,67.37588652482269
JFK-ORD,11,77.27272727272727
JFK-ORD,12,76.05633802816901
JFK-ORD,13,72.3021582733813
JFK-ORD,14,58.2089552238806
JFK-ORD,15,68.18181818181819
JFK-ORD,16,57.692307692307686
JFK-ORD,17,69.89528795811518
JFK-ORD,18,59.62566844919785
JFK-ORD,19,60.0
JFK-ORD,20,68.89952153110048
JFK-ORD,21,100.0
