Direction,Month,Scheduled_median,Unimpeded_median,Padding_minutes
ATL→LAX,1,308.0,289.0,19.0
ATL→LAX,2,310.0,294.0,16.0
ATL→LAX,3,312.0,290.5,21.5
ATL→LAX,4,305.0,292.0,13.0
ATL→LAX,5,295.0,283.0,12.0
ATL→LAX,6,285.0,273.0,12.0
ATL→LAX,7,285.0,272.0,13.0
ATL→LAX,8,285.0,274.0,11.0
ATL→LAX,9,289.0,276.0,13.0
ATL→LAX,11,303.0,295.0,8.0
ATL→LAX,12,310.0,295.0,15.0
JFK→ORD,1,170.5,159.0,11.5
JFK→ORD,2,169.0,156.0,13.0
JFK→ORD,3,176.0,159.0,17.0
JFK→ORD,4,170.5,156.0,14.5
JFK→ORD,5,167.0,158.0,9.0
JFK→ORD,6,163.0,155.0,8.0
JFK→ORD,7,160.0,152.0,8.0
JFK→ORD,8,160.0,152.0,8.0
JFK→ORD,9,165.0,148.0,17.0
JFK→ORD,11,165.0,160.5,4.5
JFK→ORD,12,166.0,162.5,3.5
LAX→ATL,1,251.0,245.0,6.0
LAX→ATL,2,251.0,240.0,11.0
LAX→ATL,3,255.0,248.0,7.0
LAX→ATL,4,260.0,246.0,14.0
LAX→ATL,5,260.0,253.0,7.0
LAX→ATL,6,265.0,256.0,9.0
LAX→ATL,7,270.0,258.0,12.0
LAX→ATL,8,269.0,256.0,13.0
LAX→ATL,9,260.0,252.0,8.0
LAX→ATL,11,250.0,237.0,13.0
LAX→ATL,12,251.0,242.0,9.0
ORD→JFK,1,128.0,123.0,5.0
ORD→JFK,2,128.0,121.0,7.0
ORD→JFK,3,133.0,121.0,12.0
ORD→JFK,4,145.5,129.0,16.5
ORD→JFK,5,140.0,125.0,15.0
ORD→JFK,6,140.0,126.0,14.0
ORD→JFK,7,140.0,126.0,14.0
ORD→JFK,8,148.0,127.0,21.0
ORD→JFK,9,142.0,131.0,11.0
ORD→JFK,11,135.0,122.0,13.0
ORD→JFK,12,135.0,125.0,10.0
